Brand,Product Name,Category,Original Price (AUD),Resale Price (AUD),Condition,Region,Season Sold,Days on Market,Date Listed,Value Retention
Balenciaga,City Bag,Handbags,17610.0,9550.51,Good,Adelaide,Winter,41,2024-07-29,54.23
Dior,Book Tote,Handbags,11497.0,6229.66,Excellent,Unknown,Summer,14,2024-03-30,54.19
Balenciaga,Le Cagole,Handbags,10735.0,7495.32,Excellent,Adelaide,Autumn,34,2023-05-03,69.82
Dior,Book Tote,Handbags,11497.0,15513.55,Excellent,Perth,Spring,40,2024-12-09,134.94
Fendi,Baguette Bag,Handbags,16671.0,9858.24,Excellent,Unknown,Winter,149,2023-02-11,59.13
Hermès,Evelyne III,Handbags,14971.0,9147.2,Unknown,Perth,Autumn,18,2024-12-20,61.1
Fendi,Peekaboo,Handbags,10980.0,6744.92,Fair,Melbourne,Summer,164,2023-02-13,61.43
Gucci,Jackie 1961,Handbags,6447.0,5455.76,Very Good,Melbourne,Winter,149,2024-07-11,84.62
Hermès,Constance,Handbags,10442.0,7478.7,Unknown,Sydney,Winter,121,2023-01-09,71.62
Rolex,Datejust,Watches,11758.0,6346.47,Very Good,Perth,Autumn,45,2024-12-29,53.98
Hermès,Kelly 28,Handbags,17882.0,8359.35,Poor,Sydney,Summer,64,2023-04-13,46.75
Cartier,Panthère Watch,Jewelry,5150.0,2880.06,Fair,Perth,Spring,75,2023-09-12,55.92
Fendi,Peekaboo,Handbags,10980.0,6612.41,Unknown,Sydney,Summer,178,2023-10-27,60.22
Rolex,Datejust,Watches,11758.0,8267.9,Excellent,Sydney,Winter,14,2023-07-04,70.32
Gucci,Dionysus,Handbags,7561.0,6076.18,Excellent,Brisbane,Spring,164,2023-07-28,80.36
Hermès,Birkin 25,Handbags,17479.0,21945.65,Good,Perth,Autumn,102,2024-04-29,125.55
Prada,Re-Edition 2005,Handbags,17035.0,7004.21,Fair,Melbourne,Summer,29,2023-07-09,41.12
Prada,Cleo Shoulder Bag,Handbags,16598.0,14313.54,Poor,Perth,Autumn,122,2023-08-23,86.24
Hermès,Constance,Handbags,10442.0,5118.01,Excellent,Sydney,Spring,61,2023-02-16,49.01
Rolex,Submariner,Watches,13875.0,7660.81,Unknown,Unknown,Winter,59,2023-08-28,55.21
Cartier,Tank Watch,Jewelry,12098.0,7345.52,Very Good,Sydney,Autumn,5,2023-07-11,60.72
Hermès,Evelyne III,Handbags,14971.0,12158.22,Very Good,Perth,Autumn,112,2024-05-25,81.21
Chanel,Classic Flap Bag,Handbags,5006.0,2556.83,Good,Sydney,Winter,105,2023-01-03,51.08
Balenciaga,City Bag,Handbags,17610.0,15130.91,Fair,Brisbane,Winter,83,2023-02-01,85.92
Gucci,Ophidia Tote,Handbags,17754.0,9933.69,Excellent,Sydney,Spring,99,2023-12-03,55.95
Chanel,Boy Bag,Handbags,4436.0,2665.23,Fair,Melbourne,Autumn,56,2024-04-21,60.08
Dior,Lady Dior,Handbags,14502.0,6076.44,Very Good,Melbourne,Spring,153,2024-10-31,41.9
Hermès,Constance,Handbags,10442.0,6027.03,Unknown,Sydney,Summer,70,2023-04-28,57.72
Prada,Galleria,Handbags,13165.0,7476.6,Very Good,Brisbane,Summer,130,2024-06-25,56.79
Hermès,Evelyne III,Handbags,14971.0,6810.58,Very Good,Unknown,Summer,134,2023-05-25,45.49
Chanel,Boy Bag,Handbags,4436.0,3397.78,Excellent,Brisbane,Autumn,159,2023-08-20,76.6
Prada,Cleo Shoulder Bag,Handbags,16598.0,7372.98,Excellent,Sydney,Summer,51,2024-06-29,44.42
Cartier,Trinity Ring,Jewelry,7083.0,4050.88,Very Good,Sydney,Autumn,71,2023-04-18,57.19
Dior,Saddle Bag,Handbags,7125.0,4574.7,Very Good,Perth,Summer,43,2024-06-24,64.21
Dior,Lady Dior,Handbags,14502.0,8438.45,Very Good,Melbourne,Spring,82,2024-02-02,58.19
Gucci,Dionysus,Handbags,7561.0,6551.69,Good,Sydney,Autumn,11,2024-06-27,86.65
Chanel,Boy Bag,Handbags,4436.0,1805.3,Very Good,Sydney,Winter,168,2024-04-11,40.7
Dior,Lady Dior,Handbags,14502.0,6197.05,Poor,Sydney,Spring,40,2024-02-02,42.73
Cartier,Tank Watch,Jewelry,12098.0,6491.84,Poor,Melbourne,Spring,117,2024-01-09,53.66
Fendi,Peekaboo,Handbags,10980.0,8976.44,Fair,Unknown,Summer,123,2024-02-04,81.75
Gucci,Jackie 1961,Handbags,6447.0,5005.07,Very Good,Brisbane,Autumn,147,2023-09-04,77.63
Balenciaga,Neo Classic,Handbags,13397.0,6997.39,Excellent,Sydney,Winter,144,2023-05-03,52.23
Cartier,Panthère Watch,Jewelry,5150.0,4189.13,Very Good,Adelaide,Autumn,126,2023-07-02,81.34
Chanel,Boy Bag,Handbags,4436.0,2262.84,Very Good,Sydney,Summer,104,2024-04-12,51.01
Rolex,Explorer,Watches,5642.0,2275.08,Poor,Sydney,Spring,129,2024-10-08,40.32
Chanel,Classic Flap Bag,Handbags,5006.0,3775.24,Very Good,Adelaide,Winter,78,2024-04-26,75.41
Chanel,Boy Bag,Handbags,4436.0,2763.34,Excellent,Melbourne,Spring,162,2024-04-28,62.29
Dior,Book Tote,Handbags,11497.0,8248.98,Very Good,Brisbane,Winter,21,2023-07-08,71.75
Louis Vuitton,Alma BB,Handbags,5212.0,2082.14,Poor,Adelaide,Spring,157,2024-10-12,39.95
Louis Vuitton,Alma BB,Handbags,5212.0,3211.04,Fair,Sydney,Summer,85,2023-02-09,61.61
Prada,Galleria,Handbags,13165.0,5747.88,Excellent,Sydney,Winter,21,2023-12-15,43.66
Fendi,Baguette Bag,Handbags,16671.0,10056.66,Unknown,Unknown,Autumn,116,2024-04-20,60.32
Cartier,Tank Watch,Jewelry,12098.0,7807.85,Fair,Perth,Winter,135,2024-03-13,64.54
Cartier,Trinity Ring,Jewelry,7083.0,4699.35,Fair,Sydney,Summer,122,2024-05-18,66.35
Cartier,Panthère Watch,Jewelry,5150.0,4215.34,Excellent,Melbourne,Winter,138,2024-11-14,81.85
Prada,Galleria,Handbags,13165.0,6965.03,Very Good,Sydney,Winter,157,2023-07-01,52.91
Fendi,Mon Tresor,Handbags,6671.0,4724.74,Very Good,Sydney,Autumn,75,2024-04-02,70.83
Gucci,Dionysus,Handbags,7561.0,3815.87,Good,Unknown,Winter,22,2023-04-28,50.47
Louis Vuitton,Neverfull Tote,Handbags,6189.0,9131.32,Unknown,Perth,Summer,99,2023-05-01,147.54
Cartier,Trinity Ring,Jewelry,7083.0,5198.35,Good,Sydney,Summer,1,2024-11-22,73.39
Prada,Re-Edition 2005,Handbags,17035.0,9741.76,Very Good,Perth,Winter,117,2023-09-18,57.19
Fendi,Baguette Bag,Handbags,16671.0,10123.57,Very Good,Melbourne,Spring,68,2023-10-13,60.73
Chanel,Coco Handle,Handbags,7983.0,6371.59,Excellent,Perth,Spring,53,2023-12-13,79.81
Cartier,Panthère Watch,Jewelry,5150.0,3121.3,Very Good,Melbourne,Autumn,74,2024-07-22,60.61
Cartier,Trinity Ring,Jewelry,7083.0,4122.11,Unknown,Melbourne,Autumn,152,2024-09-03,58.2
Chanel,Gabrielle Hobo,Handbags,2212.0,1190.9,Unknown,Sydney,Summer,34,2024-12-30,53.84
Hermès,Constance,Handbags,10442.0,7503.77,Unknown,Sydney,Summer,7,2024-08-30,71.86
Rolex,Daytona,Watches,11085.0,7965.97,Very Good,Adelaide,Spring,100,2024-09-01,71.86
Cartier,Tank Watch,Jewelry,12098.0,9761.38,Excellent,Perth,Summer,118,2024-04-14,80.69
Dior,Dior Caro,Handbags,19849.0,15431.71,Unknown,Adelaide,Spring,96,2023-04-10,77.75
Chanel,Boy Bag,Handbags,4436.0,3338.35,Poor,Sydney,Summer,29,2023-03-18,75.26
Rolex,Submariner,Watches,13875.0,11972.45,Fair,Perth,Autumn,66,2024-05-10,86.29
Balenciaga,Hourglass Bag,Handbags,8398.0,5457.79,Very Good,Melbourne,Spring,3,2024-06-30,64.99
Balenciaga,Le Cagole,Handbags,10735.0,4987.58,Excellent,Melbourne,Spring,121,2024-07-27,46.46
Gucci,Dionysus,Handbags,7561.0,3215.21,Unknown,Unknown,Spring,142,2024-09-10,42.52
Hermès,Kelly 28,Handbags,17882.0,13842.65,Very Good,Brisbane,Spring,96,2023-03-27,77.41
Prada,Re-Edition 2005,Handbags,17035.0,12744.4,Excellent,Unknown,Winter,140,2023-05-06,74.81
Hermès,Constance,Handbags,10442.0,5463.43,Unknown,Melbourne,Autumn,110,2024-06-07,52.32
Prada,Galleria,Handbags,13165.0,6253.6,Poor,Brisbane,Spring,121,2024-08-10,47.5
Hermès,Kelly 28,Handbags,17882.0,20450.94,Fair,Brisbane,Summer,65,2023-05-19,114.37
Rolex,Daytona,Watches,11085.0,6515.67,Excellent,Melbourne,Summer,154,2023-03-16,58.78
Cartier,Love Bracelet,Jewelry,3780.0,3255.17,Unknown,Sydney,Autumn,106,2024-03-31,86.12
Fendi,Peekaboo,Handbags,10980.0,6955.25,Very Good,Melbourne,Summer,81,2024-04-23,63.34
Hermès,Constance,Handbags,10442.0,8567.1,Fair,Melbourne,Winter,144,2024-11-16,82.04
Balenciaga,Hourglass Bag,Handbags,8398.0,5681.45,Good,Melbourne,Spring,132,2024-05-10,67.65
Louis Vuitton,Capucines,Handbags,12981.0,15136.05,Fair,Perth,Winter,106,2023-06-02,116.6
Prada,Re-Edition 2005,Handbags,17035.0,7962.92,Unknown,Unknown,Winter,36,2023-12-10,46.74
Cartier,Tank Watch,Jewelry,12098.0,7947.18,Excellent,Unknown,Winter,59,2023-10-01,65.69
Dior,Lady Dior,Handbags,14502.0,6206.65,Excellent,Sydney,Autumn,77,2024-10-05,42.8
Hermès,Constance,Handbags,10442.0,6540.9,Excellent,Unknown,Autumn,26,2024-09-22,62.64
Rolex,Daytona,Watches,11085.0,9947.15,Good,Sydney,Autumn,111,2024-09-07,89.74
Dior,Dior Caro,Handbags,19849.0,9507.94,Unknown,Brisbane,Summer,27,2024-04-18,47.9
Hermès,Kelly 28,Handbags,17882.0,12526.51,Fair,Sydney,Summer,93,2023-07-21,70.05
Louis Vuitton,Alma BB,Handbags,5212.0,3961.19,Poor,Sydney,Autumn,39,2023-12-31,76.0
Rolex,Daytona,Watches,11085.0,8258.95,Very Good,Melbourne,Autumn,124,2024-12-15,74.51
Chanel,Gabrielle Hobo,Handbags,2212.0,1147.6,Excellent,Brisbane,Winter,102,2024-10-22,51.88
Louis Vuitton,Alma BB,Handbags,5212.0,3882.53,Excellent,Melbourne,Spring,109,2024-08-21,74.49
Rolex,Explorer,Watches,5642.0,3604.81,Excellent,Adelaide,Autumn,128,2024-10-15,63.89
Louis Vuitton,Speedy 30,Handbags,3829.0,3403.75,Very Good,Melbourne,Autumn,67,2024-11-09,88.89
Hermès,Evelyne III,Handbags,14971.0,8144.32,Excellent,Melbourne,Summer,56,2023-09-28,54.4
Dior,Lady Dior,Handbags,14502.0,6888.46,Unknown,Unknown,Summer,53,2023-01-05,47.5
Hermès,Birkin 25,Handbags,17479.0,10741.18,Unknown,Sydney,Winter,43,2024-01-04,61.45
Balenciaga,Hourglass Bag,Handbags,8398.0,4021.72,Fair,Sydney,Autumn,137,2024-04-25,47.89
Chanel,Boy Bag,Handbags,4436.0,1975.56,Poor,Perth,Summer,44,2024-04-15,44.53
Chanel,Gabrielle Hobo,Handbags,2212.0,961.43,Very Good,Adelaide,Summer,31,2023-08-08,43.46
Dior,Saddle Bag,Handbags,7125.0,5066.84,Poor,Melbourne,Autumn,132,2024-08-13,71.11
Fendi,Sunshine Shopper,Handbags,13381.0,17018.41,Very Good,Melbourne,Spring,57,2023-04-01,127.18
Cartier,Love Bracelet,Jewelry,3780.0,3388.24,Very Good,Sydney,Autumn,5,2024-04-13,89.64
Dior,Saddle Bag,Handbags,7125.0,6020.68,Very Good,Perth,Spring,111,2024-12-01,84.5
Chanel,Coco Handle,Handbags,7983.0,5620.31,Unknown,Perth,Winter,159,2024-03-24,70.4
Fendi,Peekaboo,Handbags,10980.0,7075.89,Excellent,Melbourne,Winter,10,2024-01-02,64.44
Balenciaga,Neo Classic,Handbags,13397.0,9630.47,Fair,Melbourne,Spring,145,2024-01-08,71.89
Hermès,Kelly 28,Handbags,17882.0,14048.7,Very Good,Melbourne,Winter,111,2024-03-08,78.56
Dior,Book Tote,Handbags,11497.0,7730.39,Unknown,Unknown,Winter,113,2024-09-23,67.24
Chanel,Classic Flap Bag,Handbags,5006.0,2686.2,Unknown,Sydney,Summer,161,2024-01-15,53.66
Cartier,Panthère Watch,Jewelry,5150.0,3912.55,Good,Sydney,Winter,107,2024-02-28,75.97
Balenciaga,City Bag,Handbags,17610.0,10229.88,Poor,Melbourne,Winter,65,2024-02-02,58.09
Gucci,Marmont Mini,Handbags,10882.0,8590.53,Very Good,Melbourne,Spring,46,2024-02-08,78.94
Balenciaga,City Bag,Handbags,17610.0,8116.05,Good,Melbourne,Winter,115,2023-09-20,46.09
Gucci,Marmont Mini,Handbags,10882.0,5228.9,Excellent,Sydney,Autumn,140,2023-05-17,48.05
Louis Vuitton,Alma BB,Handbags,5212.0,3616.35,Very Good,Brisbane,Summer,57,2023-07-06,69.39
Gucci,Marmont Mini,Handbags,10882.0,8492.47,Very Good,Unknown,Summer,42,2023-12-17,78.04
Prada,Cleo Shoulder Bag,Handbags,16598.0,9867.02,Fair,Unknown,Summer,44,2023-12-17,59.45
Hermès,Constance,Handbags,10442.0,6981.04,Poor,Brisbane,Winter,73,2023-12-18,66.86
Dior,Lady Dior,Handbags,14502.0,7132.27,Very Good,Sydney,Spring,69,2023-01-31,49.18
Balenciaga,Neo Classic,Handbags,13397.0,9571.35,Excellent,Brisbane,Winter,93,2024-08-03,71.44
Prada,Cleo Shoulder Bag,Handbags,16598.0,12902.66,Very Good,Perth,Autumn,32,2023-03-14,77.74
Fendi,Sunshine Shopper,Handbags,13381.0,7501.1,Fair,Brisbane,Winter,79,2023-08-06,56.06
Fendi,Sunshine Shopper,Handbags,13381.0,8100.25,Fair,Brisbane,Winter,176,2024-07-13,60.54
Prada,Re-Edition 2005,Handbags,17035.0,10472.77,Very Good,Melbourne,Autumn,18,2024-10-06,61.48
Prada,Re-Edition 2005,Handbags,17035.0,13752.98,Fair,Sydney,Autumn,15,2023-09-26,80.73
Fendi,Peekaboo,Handbags,10980.0,4803.98,Good,Sydney,Summer,10,2023-05-31,43.75
Rolex,Explorer,Watches,5642.0,2966.84,Very Good,Sydney,Spring,56,2024-06-20,52.58
Fendi,Baguette Bag,Handbags,16671.0,13776.92,Excellent,Brisbane,Autumn,68,2024-03-22,82.64
Louis Vuitton,Neverfull Tote,Handbags,6189.0,4971.38,Fair,Sydney,Autumn,25,2024-07-31,80.33
Prada,Cleo Shoulder Bag,Handbags,16598.0,9025.1,Poor,Sydney,Summer,7,2024-08-26,54.37
Hermès,Evelyne III,Handbags,14971.0,7515.16,Very Good,Melbourne,Autumn,123,2023-04-19,50.2
Dior,Dior Caro,Handbags,19849.0,10135.82,Excellent,Unknown,Summer,142,2024-02-01,51.06
Louis Vuitton,Alma BB,Handbags,5212.0,2534.68,Very Good,Sydney,Winter,64,2024-05-23,48.63
Rolex,Explorer,Watches,5642.0,4665.75,Good,Sydney,Summer,87,2024-05-02,82.7
Fendi,Peekaboo,Handbags,10980.0,12802.75,Very Good,Perth,Autumn,86,2024-04-15,116.6
Cartier,Love Bracelet,Jewelry,3780.0,1731.32,Excellent,Melbourne,Spring,92,2024-06-19,45.8
Hermès,Kelly 28,Handbags,17882.0,12884.74,Very Good,Melbourne,Winter,104,2024-01-02,72.05
Chanel,Coco Handle,Handbags,7983.0,4270.24,Very Good,Adelaide,Spring,14,2023-04-30,53.49
Louis Vuitton,Neverfull Tote,Handbags,6189.0,4454.06,Good,Melbourne,Winter,2,2024-12-07,71.97
Fendi,Mon Tresor,Handbags,6671.0,5206.16,Poor,Melbourne,Summer,98,2024-02-26,78.04
Rolex,Explorer,Watches,5642.0,3354.85,Excellent,Perth,Spring,168,2023-09-14,59.46
Hermès,Kelly 28,Handbags,17882.0,12827.45,Very Good,Sydney,Spring,104,2023-04-20,71.73
Gucci,Dionysus,Handbags,7561.0,5070.22,Unknown,Sydney,Winter,124,2023-05-31,67.06
Balenciaga,Hourglass Bag,Handbags,8398.0,4473.36,Very Good,Brisbane,Summer,177,2023-08-04,53.27
Prada,Re-Edition 2005,Handbags,17035.0,9192.33,Very Good,Melbourne,Spring,107,2024-11-19,53.96
Gucci,Marmont Mini,Handbags,10882.0,9004.05,Very Good,Adelaide,Autumn,75,2023-08-12,82.74
Chanel,Coco Handle,Handbags,7983.0,3377.87,Very Good,Melbourne,Spring,161,2023-05-07,42.31
Prada,Cleo Shoulder Bag,Handbags,16598.0,9418.16,Good,Melbourne,Autumn,52,2024-11-02,56.74
Chanel,Classic Flap Bag,Handbags,5006.0,3794.8,Excellent,Melbourne,Spring,108,2023-10-19,75.81
Louis Vuitton,Neverfull Tote,Handbags,6189.0,2597.83,Poor,Sydney,Spring,169,2023-12-21,41.97
Cartier,Trinity Ring,Jewelry,7083.0,3488.89,Good,Unknown,Winter,77,2024-03-09,49.26
Fendi,Mon Tresor,Handbags,6671.0,4217.73,Unknown,Perth,Summer,163,2024-02-19,63.22
Cartier,Love Bracelet,Jewelry,3780.0,2997.44,Excellent,Melbourne,Summer,150,2024-04-19,79.3
Dior,Dior Caro,Handbags,19849.0,8533.32,Poor,Melbourne,Winter,40,2024-08-09,42.99
Prada,Galleria,Handbags,13165.0,10903.28,Poor,Unknown,Summer,76,2024-10-03,82.82
Hermès,Kelly 28,Handbags,17882.0,9329.92,Very Good,Sydney,Summer,142,2023-08-16,52.17
Rolex,Submariner,Watches,13875.0,11822.5,Good,Melbourne,Summer,92,2023-11-16,85.21
Balenciaga,City Bag,Handbags,17610.0,10752.68,Good,Melbourne,Summer,60,2024-01-27,61.06
Prada,Cleo Shoulder Bag,Handbags,16598.0,8467.77,Very Good,Melbourne,Summer,50,2023-02-19,51.02
Cartier,Panthère Watch,Jewelry,5150.0,2948.95,Very Good,Melbourne,Winter,159,2023-08-30,57.26
Louis Vuitton,Neverfull Tote,Handbags,6189.0,3005.31,Fair,Perth,Spring,34,2023-05-07,48.56
Louis Vuitton,Capucines,Handbags,12981.0,9291.18,Excellent,Brisbane,Summer,179,2023-11-27,71.58
Hermès,Kelly 28,Handbags,17882.0,14612.72,Very Good,Melbourne,Spring,139,2024-02-11,81.72
Rolex,Datejust,Watches,11758.0,9890.66,Very Good,Perth,Winter,155,2024-12-05,84.12
Balenciaga,Hourglass Bag,Handbags,8398.0,6903.51,Unknown,Melbourne,Autumn,147,2023-08-31,82.2
Louis Vuitton,Speedy 30,Handbags,3829.0,2054.48,Excellent,Perth,Autumn,166,2023-03-27,53.66
Prada,Double Tote,Handbags,17680.0,15763.85,Unknown,Perth,Summer,3,2024-04-14,89.16
Cartier,Tank Watch,Jewelry,12098.0,7320.32,Fair,Sydney,Summer,92,2023-06-16,60.51
Dior,Lady Dior,Handbags,14502.0,9738.9,Very Good,Melbourne,Winter,50,2023-09-07,67.16
Prada,Galleria,Handbags,13165.0,16324.48,Poor,Brisbane,Summer,165,2023-08-31,124.0
Cartier,Tank Watch,Jewelry,12098.0,10547.79,Unknown,Brisbane,Autumn,92,2023-04-19,87.19
Gucci,Jackie 1961,Handbags,6447.0,5668.09,Excellent,Sydney,Spring,154,2023-05-01,87.92
Cartier,Trinity Ring,Jewelry,7083.0,5042.96,Excellent,Adelaide,Winter,122,2024-11-25,71.2
Rolex,Explorer,Watches,5642.0,5136.26,Very Good,Sydney,Winter,17,2024-04-17,91.04
Rolex,Daytona,Watches,11085.0,4599.69,Very Good,Melbourne,Summer,121,2024-11-19,41.49
Louis Vuitton,Neverfull Tote,Handbags,6189.0,2567.3,Excellent,Sydney,Summer,40,2024-12-08,41.48
Rolex,Submariner,Watches,13875.0,10783.34,Poor,Sydney,Summer,44,2023-05-18,77.72
Cartier,Love Bracelet,Jewelry,3780.0,2747.34,Excellent,Sydney,Autumn,90,2024-07-13,72.68
Hermès,Kelly 28,Handbags,17882.0,14436.82,Excellent,Brisbane,Winter,159,2024-07-01,80.73
Louis Vuitton,Speedy 30,Handbags,3829.0,2868.6,Very Good,Melbourne,Autumn,4,2023-06-28,74.92
Cartier,Trinity Ring,Jewelry,7083.0,3315.83,Fair,Perth,Winter,123,2023-07-07,46.81
Cartier,Trinity Ring,Jewelry,7083.0,4040.55,Good,Melbourne,Spring,20,2024-09-15,57.05
Prada,Re-Edition 2005,Handbags,17035.0,12310.65,Fair,Melbourne,Summer,143,2023-03-19,72.27
Hermès,Constance,Handbags,10442.0,7107.12,Excellent,Perth,Autumn,7,2023-12-01,68.06
Prada,Galleria,Handbags,13165.0,7690.71,Excellent,Adelaide,Autumn,168,2024-02-21,58.42
Prada,Re-Edition 2005,Handbags,17035.0,12363.11,Excellent,Adelaide,Spring,119,2023-08-28,72.57
Balenciaga,Neo Classic,Handbags,13397.0,7040.68,Good,Melbourne,Spring,151,2023-11-25,52.55
