Brand,Product Name,Category,Original Price (AUD),Resale Price (AUD),Condition,Region,Season Sold,Days on Market,Date Listed
Prada,Double Tote,Handbags,17675.0,13289.6,,Perth,Autumn,11,2023-02-21
Fendi,Peekaboo,Handbags,11073.0,4964.02,Excell,Brisbane,Spring,117,2024-05-01
Balenciaga,City Bag,Handbags,17560.0,9550.51,Good,Adelaide,Winter,41,2024-07-29
Dior,Book Tote,Handbags,11502.0,6229.66,Excell,unknown,Summer,14,2024-03-30
Balenciaga,Le Cagole,Handbags,10727.0,7495.32,New,Adelaide,Autumn,34,2023-05-03
Dior,Book Tote,Handbags,11411.0,15513.55,Excell,Perth,Spring,40,2024-12-09
Fendi,Baguette Bag,Handbags,16596.0,9858.24,New,unknown,Winter,149,2023-02-11
Hermès,Evelyne III,Handbags,,9147.2,Unknown,Perth,Autumn,18,2024-12-20
Fendi,Peekaboo,Handbags,10886.0,6744.92,Fair,Melb,Summer,164,2023-02-13
Gucci,Jackie 1961,Handbags,6382.0,5455.76,Very Good,Melbourne,Winter,149,2024-07-11
Hermès,Constance,Handbags,10361.0,7478.7,Unknown,SYD,Winter,121,2023-01-09
Rolex,Datejust,Watches,11774.0,6346.47,Very Good,Perth,Autumn,45,2024-12-29
Hermès,Kelly 28,Handbags,17882.0,8359.35,poor,Sydney,Summer,64,2023-04-13
Cartier,Panthère Watch,Jewelry,5221.0,2880.06,Fair,Perth,Spring,75,2023-09-12
Fendi,Peekaboo,Handbags,11010.0,6612.41,,SYD,Summer,178,2023-10-27
Rolex,Datejust,Watches,11817.0,8267.9,New,SYD,Winter,14,2023-07-04
Gucci,Dionysus,Handbags,7540.0,6076.18,Excell,Brisbane,Spring,164,2023-07-28
Hermès,Birkin 25,Handbags,17531.0,21945.65,Good,Perth,Autumn,102,2024-04-29
Prada,Re-Edition 2005,Handbags,16955.0,7004.21,Fair,Melbourne,Summer,29,2023-07-09
Prada,Cleo Shoulder Bag,Handbags,16609.0,14313.54,poor,Perth,Autumn,122,2023-08-23
Hermès,Constance,Handbags,10332.0,5118.01,Excell,SYD,Spring,61,2023-02-16
Rolex,Submariner,Watches,13960.0,7660.81,Unknown,unknown,Winter,59,2023-08-28
Cartier,Tank Watch,Jewelry,12062.0,7345.52,Like New,SYD,Autumn,5,2023-07-11
Hermès,Evelyne III,Handbags,14993.0,12158.22,Very Good,Perth,Autumn,112,2024-05-25
Chanel,Classic Flap Bag,Handbags,,2556.83,Good,SYD,Winter,105,2023-01-03
Balenciaga,City Bag,Handbags,17652.0,15130.91,Fair,Brisbane,Winter,83,2023-02-01
Gucci,Ophidia Tote,Handbags,17801.0,9933.69,New,SYD,Spring,99,2023-12-03
Chanel,Boy Bag,Handbags,4429.0,2665.23,Fair,Melb,Autumn,56,2024-04-21
Dior,Lady Dior,Handbags,14425.0,6076.44,Very Good,Melbourne,Spring,153,2024-10-31
Hermès,Constance,Handbags,,6027.03,Unknown,SYD,Summer,70,2023-04-28
Prada,Galleria,Handbags,13093.0,7476.6,Very Good,Brisbane,Summer,130,2024-06-25
Hermès,Evelyne III,Handbags,14955.0,6810.58,Very Good,unknown,Summer,134,2023-05-25
Chanel,Boy Bag,Handbags,4435.0,3397.78,Excell,Brisbane,Autumn,159,2023-08-20
Prada,Cleo Shoulder Bag,Handbags,16686.0,7372.98,Excell,SYD,Summer,51,2024-06-29
Cartier,Trinity Ring,Jewelry,7065.0,4050.88,Very Good,SYD,Autumn,71,2023-04-18
Dior,Saddle Bag,Handbags,7163.0,4574.7,Very Good,Perth,Summer,43,2024-06-24
Dior,Lady Dior,Handbags,14501.0,8438.45,Like New,Melb,Spring,82,2024-02-02
Gucci,Dionysus,Handbags,7612.0,6551.69,Good,Sydney,Autumn,11,2024-06-27
Chanel,Boy Bag,Handbags,4422.0,1805.3,Very Good,SYD,Winter,168,2024-04-11
Dior,Lady Dior,Handbags,14409.0,6197.05,poor,SYD,Spring,40,2024-02-02
Cartier,Tank Watch,Jewelry,12129.0,6491.84,poor,Melbourne,Spring,117,2024-01-09
Fendi,Peekaboo,Handbags,11047.0,8976.44,Fair,unknown,Summer,123,2024-02-04
Gucci,Jackie 1961,Handbags,6515.0,5005.07,Very Good,Brisbane,Autumn,147,2023-09-04
Balenciaga,Neo Classic,Handbags,13301.0,6997.39,New,SYD,Winter,144,2023-05-03
Cartier,Panthère Watch,Jewelry,5107.0,4189.13,Very Good,Adelaide,Autumn,126,2023-07-02
Chanel,Boy Bag,Handbags,4504.0,2262.84,Very Good,SYD,Summer,104,2024-04-12
Rolex,Explorer,Watches,5591.0,2275.08,poor,Sydney,Spring,129,2024-10-08
Chanel,Classic Flap Bag,Handbags,5002.0,3775.24,Like New,Adelaide,Winter,78,2024-04-26
Chanel,Boy Bag,Handbags,4424.0,2763.34,Excell,Melb,Spring,162,2024-04-28
Dior,Book Tote,Handbags,11413.0,8248.98,Very Good,Brisbane,Winter,21,2023-07-08
Louis Vuitton,Alma BB,Handbags,5201.0,2082.14,poor,Adelaide,Spring,157,2024-10-12
Louis Vuitton,Alma BB,Handbags,5183.0,3211.04,Fair,Sydney,Summer,85,2023-02-09
Prada,Galleria,Handbags,13182.0,5747.88,Excell,SYD,Winter,21,2023-12-15
Fendi,Baguette Bag,Handbags,16762.0,10056.66,Unknown,unknown,Autumn,116,2024-04-20
Cartier,Tank Watch,Jewelry,12115.0,7807.85,Fair,Perth,Winter,135,2024-03-13
Cartier,Trinity Ring,Jewelry,7124.0,4699.35,Fair,SYD,Summer,122,2024-05-18
Cartier,Panthère Watch,Jewelry,5081.0,4215.34,New,Melb,Winter,138,2024-11-14
Prada,Galleria,Handbags,13210.0,6965.03,Very Good,Sydney,Winter,157,2023-07-01
Fendi,Mon Tresor,Handbags,6681.0,4724.74,Like New,SYD,Autumn,75,2024-04-02
Gucci,Dionysus,Handbags,7601.0,3815.87,Good,unknown,Winter,22,2023-04-28
Louis Vuitton,Neverfull Tote,Handbags,6267.0,9131.32,Unknown,Perth,Summer,99,2023-05-01
Cartier,Trinity Ring,Jewelry,7007.0,5198.35,Good,Sydney,Summer,1,2024-11-22
Prada,Re-Edition 2005,Handbags,16975.0,9741.76,Like New,Perth,Winter,117,2023-09-18
Fendi,Baguette Bag,Handbags,16751.0,10123.57,Like New,Melb,Spring,68,2023-10-13
Chanel,Coco Handle,Handbags,7986.0,6371.59,New,Perth,Spring,53,2023-12-13
Cartier,Panthère Watch,Jewelry,5229.0,3121.3,Like New,Melbourne,Autumn,74,2024-07-22
Cartier,Trinity Ring,Jewelry,7105.0,4122.11,Unknown,Melb,Autumn,152,2024-09-03
Chanel,Gabrielle Hobo,Handbags,2280.0,1190.9,Unknown,SYD,Summer,34,2024-12-30
Hermès,Constance,Handbags,10381.0,7503.77,Unknown,SYD,Summer,7,2024-08-30
Rolex,Daytona,Watches,11097.0,7965.97,Very Good,Adelaide,Spring,100,2024-09-01
Cartier,Tank Watch,Jewelry,12107.0,9761.38,New,Perth,Summer,118,2024-04-14
Dior,Dior Caro,Handbags,19861.0,15431.71,Unknown,Adelaide,Spring,96,2023-04-10
Chanel,Boy Bag,Handbags,4460.0,3338.35,poor,Sydney,Summer,29,2023-03-18
Rolex,Submariner,Watches,13957.0,11972.45,Fair,Perth,Autumn,66,2024-05-10
Balenciaga,Hourglass Bag,Handbags,8470.0,5457.79,Like New,Melb,Spring,3,2024-06-30
Balenciaga,Le Cagole,Handbags,10762.0,4987.58,Excell,Melb,Spring,121,2024-07-27
Gucci,Dionysus,Handbags,,3215.21,Unknown,unknown,Spring,142,2024-09-10
Hermès,Kelly 28,Handbags,17802.0,13842.65,Very Good,Brisbane,Spring,96,2023-03-27
Prada,Re-Edition 2005,Handbags,16965.0,12744.4,Excell,unknown,Winter,140,2023-05-06
Hermès,Constance,Handbags,10456.0,5463.43,Unknown,Melbourne,Autumn,110,2024-06-07
Prada,Galleria,Handbags,13154.0,6253.6,poor,Brisbane,Spring,121,2024-08-10
Hermès,Kelly 28,Handbags,17815.0,20450.94,Fair,Brisbane,Summer,65,2023-05-19
Rolex,Daytona,Watches,11117.0,6515.67,Excell,Melbourne,Summer,154,2023-03-16
Cartier,Love Bracelet,Jewelry,3699.0,3255.17,Unknown,SYD,Autumn,106,2024-03-31
Fendi,Peekaboo,Handbags,10945.0,6955.25,Like New,Melb,Summer,81,2024-04-23
Hermès,Constance,Handbags,10509.0,8567.1,Fair,Melbourne,Winter,144,2024-11-16
Balenciaga,Hourglass Bag,Handbags,8364.0,5681.45,Good,Melbourne,Spring,132,2024-05-10
Louis Vuitton,Capucines,Handbags,13041.0,15136.05,Fair,Perth,Winter,106,2023-06-02
Prada,Re-Edition 2005,Handbags,17094.0,7962.92,Unknown,unknown,Winter,36,2023-12-10
Cartier,Tank Watch,Jewelry,12034.0,7947.18,Excell,unknown,Winter,59,2023-10-01
Dior,Lady Dior,Handbags,14435.0,6206.65,New,SYD,Autumn,77,2024-10-05
Hermès,Constance,Handbags,10479.0,6540.9,New,unknown,Autumn,26,2024-09-22
Rolex,Daytona,Watches,11060.0,9947.15,Good,Sydney,Autumn,111,2024-09-07
Dior,Dior Caro,Handbags,19951.0,9507.94,Unknown,Brisbane,Summer,27,2024-04-18
Hermès,Kelly 28,Handbags,17909.0,12526.51,Fair,Sydney,Summer,93,2023-07-21
Louis Vuitton,Alma BB,Handbags,5169.0,3961.19,poor,SYD,Autumn,39,2023-12-31
Rolex,Daytona,Watches,11170.0,8258.95,Like New,Melb,Autumn,124,2024-12-15
Chanel,Gabrielle Hobo,Handbags,2228.0,1147.6,Excell,Brisbane,Winter,102,2024-10-22
Louis Vuitton,Alma BB,Handbags,5259.0,3882.53,New,Melb,Spring,109,2024-08-21
Rolex,Explorer,Watches,5646.0,3604.81,Excell,Adelaide,Autumn,128,2024-10-15
Louis Vuitton,Speedy 30,Handbags,3824.0,3403.75,Very Good,Melb,Autumn,67,2024-11-09
Hermès,Evelyne III,Handbags,14951.0,8144.32,New,Melb,Summer,56,2023-09-28
Dior,Lady Dior,Handbags,14565.0,6888.46,,unknown,Summer,53,2023-01-05
Hermès,Birkin 25,Handbags,17497.0,10741.18,Unknown,Sydney,Winter,43,2024-01-04
Balenciaga,Hourglass Bag,Handbags,8342.0,4021.72,Fair,Sydney,Autumn,137,2024-04-25
Chanel,Boy Bag,Handbags,4437.0,1975.56,poor,Perth,Summer,44,2024-04-15
Chanel,Gabrielle Hobo,Handbags,2114.0,961.43,Like New,Adelaide,Summer,31,2023-08-08
Dior,Saddle Bag,Handbags,7153.0,5066.84,poor,Melb,Autumn,132,2024-08-13
Fendi,Sunshine Shopper,Handbags,13384.0,17018.41,Like New,Melb,Spring,57,2023-04-01
Cartier,Love Bracelet,Jewelry,3804.0,3388.24,Like New,Sydney,Autumn,5,2024-04-13
Dior,Saddle Bag,Handbags,7160.0,6020.68,Like New,Perth,Spring,111,2024-12-01
Chanel,Coco Handle,Handbags,7954.0,5620.31,Unknown,Perth,Winter,159,2024-03-24
Fendi,Peekaboo,Handbags,11028.0,7075.89,Excell,Melbourne,Winter,10,2024-01-02
Balenciaga,Neo Classic,Handbags,13425.0,9630.47,Fair,Melb,Spring,145,2024-01-08
Hermès,Kelly 28,Handbags,17850.0,14048.7,Like New,Melb,Winter,111,2024-03-08
Dior,Book Tote,Handbags,11537.0,7730.39,Unknown,unknown,Winter,113,2024-09-23
Chanel,Classic Flap Bag,Handbags,4934.0,2686.2,Unknown,SYD,Summer,161,2024-01-15
Cartier,Panthère Watch,Jewelry,5225.0,3912.55,Good,SYD,Winter,107,2024-02-28
Balenciaga,City Bag,Handbags,17589.0,10229.88,poor,Melb,Winter,65,2024-02-02
Gucci,Marmont Mini,Handbags,10890.0,8590.53,Like New,Melb,Spring,46,2024-02-08
Balenciaga,City Bag,Handbags,17589.0,8116.05,Good,Melb,Winter,115,2023-09-20
Gucci,Marmont Mini,Handbags,10834.0,5228.9,New,SYD,Autumn,140,2023-05-17
Louis Vuitton,Alma BB,Handbags,5193.0,3616.35,Very Good,Brisbane,Summer,57,2023-07-06
Gucci,Marmont Mini,Handbags,10836.0,8492.47,Very Good,unknown,Summer,42,2023-12-17
Prada,Cleo Shoulder Bag,Handbags,16589.0,9867.02,Fair,unknown,Summer,44,2023-12-17
Hermès,Constance,Handbags,10344.0,6981.04,poor,Brisbane,Winter,73,2023-12-18
Dior,Lady Dior,Handbags,14543.0,7132.27,Like New,SYD,Spring,69,2023-01-31
Balenciaga,Neo Classic,Handbags,13420.0,9571.35,Excell,Brisbane,Winter,93,2024-08-03
Prada,Cleo Shoulder Bag,Handbags,16695.0,12902.66,Like New,Perth,Autumn,32,2023-03-14
Fendi,Sunshine Shopper,Handbags,13325.0,7501.1,Fair,Brisbane,Winter,79,2023-08-06
Fendi,Sunshine Shopper,Handbags,13479.0,8100.25,Fair,Brisbane,Winter,176,2024-07-13
Prada,Re-Edition 2005,Handbags,17024.0,10472.77,Like New,Melb,Autumn,18,2024-10-06
Prada,Re-Edition 2005,Handbags,17053.0,13752.98,Fair,Sydney,Autumn,15,2023-09-26
Fendi,Peekaboo,Handbags,10957.0,4803.98,Good,Sydney,Summer,10,2023-05-31
Rolex,Explorer,Watches,5682.0,2966.84,Very Good,Sydney,Spring,56,2024-06-20
Fendi,Baguette Bag,Handbags,16731.0,13776.92,Excell,Brisbane,Autumn,68,2024-03-22
Louis Vuitton,Neverfull Tote,Handbags,6207.0,4971.38,Fair,SYD,Autumn,25,2024-07-31
Prada,Cleo Shoulder Bag,Handbags,16555.0,9025.1,poor,Sydney,Summer,7,2024-08-26
Hermès,Evelyne III,Handbags,14958.0,7515.16,Very Good,Melbourne,Autumn,123,2023-04-19
Dior,Dior Caro,Handbags,19922.0,10135.82,New,unknown,Summer,142,2024-02-01
Louis Vuitton,Alma BB,Handbags,5209.0,2534.68,Very Good,Sydney,Winter,64,2024-05-23
Rolex,Explorer,Watches,5582.0,4665.75,Good,SYD,Summer,87,2024-05-02
Fendi,Peekaboo,Handbags,11079.0,12802.75,Like New,Perth,Autumn,86,2024-04-15
Cartier,Love Bracelet,Jewelry,3699.0,1731.32,Excell,Melbourne,Spring,92,2024-06-19
Hermès,Kelly 28,Handbags,17958.0,12884.74,Very Good,Melb,Winter,104,2024-01-02
Chanel,Coco Handle,Handbags,7952.0,4270.24,Very Good,Adelaide,Spring,14,2023-04-30
Louis Vuitton,Neverfull Tote,Handbags,6124.0,4454.06,Good,Melbourne,Winter,2,2024-12-07
Fendi,Mon Tresor,Handbags,6637.0,5206.16,poor,Melbourne,Summer,98,2024-02-26
Rolex,Explorer,Watches,5580.0,3354.85,Excell,Perth,Spring,168,2023-09-14
Hermès,Kelly 28,Handbags,17810.0,12827.45,Like New,Sydney,Spring,104,2023-04-20
Gucci,Dionysus,Handbags,7588.0,5070.22,Unknown,Sydney,Winter,124,2023-05-31
Balenciaga,Hourglass Bag,Handbags,8340.0,4473.36,Like New,Brisbane,Summer,177,2023-08-04
Prada,Re-Edition 2005,Handbags,17112.0,9192.33,Like New,Melbourne,Spring,107,2024-11-19
Gucci,Marmont Mini,Handbags,10947.0,9004.05,Very Good,Adelaide,Autumn,75,2023-08-12
Chanel,Coco Handle,Handbags,7983.0,3377.87,Like New,Melb,Spring,161,2023-05-07
Prada,Cleo Shoulder Bag,Handbags,16554.0,9418.16,Good,Melb,Autumn,52,2024-11-02
Chanel,Classic Flap Bag,Handbags,5073.0,3794.8,Excell,Melbourne,Spring,108,2023-10-19
Louis Vuitton,Neverfull Tote,Handbags,6117.0,2597.83,poor,Sydney,Spring,169,2023-12-21
Cartier,Trinity Ring,Jewelry,7166.0,3488.89,Good,unknown,Winter,77,2024-03-09
Fendi,Mon Tresor,Handbags,6713.0,4217.73,,Perth,Summer,163,2024-02-19
Cartier,Love Bracelet,Jewelry,3709.0,2997.44,Excell,Melbourne,Summer,150,2024-04-19
Dior,Dior Caro,Handbags,19830.0,8533.32,poor,Melbourne,Winter,40,2024-08-09
Prada,Galleria,Handbags,13225.0,10903.28,poor,unknown,Summer,76,2024-10-03
Hermès,Kelly 28,Handbags,17859.0,9329.92,Like New,SYD,Summer,142,2023-08-16
Rolex,Submariner,Watches,13861.0,11822.5,Good,Melbourne,Summer,92,2023-11-16
Balenciaga,City Bag,Handbags,17582.0,10752.68,Good,Melb,Summer,60,2024-01-27
Prada,Cleo Shoulder Bag,Handbags,16592.0,8467.77,Very Good,Melb,Summer,50,2023-02-19
Cartier,Panthère Watch,Jewelry,5183.0,2948.95,Like New,Melbourne,Winter,159,2023-08-30
Louis Vuitton,Neverfull Tote,Handbags,6285.0,3005.31,Fair,Perth,Spring,34,2023-05-07
Louis Vuitton,Capucines,Handbags,13017.0,9291.18,New,Brisbane,Summer,179,2023-11-27
Hermès,Kelly 28,Handbags,17833.0,14612.72,Like New,Melb,Spring,139,2024-02-11
Rolex,Datejust,Watches,11712.0,9890.66,Very Good,Perth,Winter,155,2024-12-05
Balenciaga,Hourglass Bag,Handbags,8454.0,6903.51,Unknown,Melbourne,Autumn,147,2023-08-31
Louis Vuitton,Speedy 30,Handbags,3748.0,2054.48,Excell,Perth,Autumn,166,2023-03-27
Prada,Double Tote,Handbags,17715.0,15763.85,Unknown,Perth,Summer,3,2024-04-14
Cartier,Tank Watch,Jewelry,12150.0,7320.32,Fair,SYD,Summer,92,2023-06-16
Dior,Lady Dior,Handbags,14573.0,9738.9,Like New,Melb,Winter,50,2023-09-07
Prada,Galleria,Handbags,13211.0,16324.48,poor,Brisbane,Summer,165,2023-08-31
Cartier,Tank Watch,Jewelry,12029.0,10547.79,Unknown,Brisbane,Autumn,92,2023-04-19
Gucci,Jackie 1961,Handbags,6441.0,5668.09,Excell,Sydney,Spring,154,2023-05-01
Cartier,Trinity Ring,Jewelry,7085.0,5042.96,New,Adelaide,Winter,122,2024-11-25
Rolex,Explorer,Watches,5718.0,5136.26,Very Good,Sydney,Winter,17,2024-04-17
Rolex,Daytona,Watches,11158.0,4599.69,Like New,Melbourne,Summer,121,2024-11-19
Louis Vuitton,Neverfull Tote,Handbags,6092.0,2567.3,Excell,Sydney,Summer,40,2024-12-08
Rolex,Submariner,Watches,13862.0,10783.34,poor,SYD,Summer,44,2023-05-18
Cartier,Love Bracelet,Jewelry,3682.0,2747.34,Excell,Sydney,Autumn,90,2024-07-13
Hermès,Kelly 28,Handbags,17973.0,14436.82,New,Brisbane,Winter,159,2024-07-01
Louis Vuitton,Speedy 30,Handbags,3737.0,2868.6,Like New,Melbourne,Autumn,4,2023-06-28
Cartier,Trinity Ring,Jewelry,7161.0,3315.83,Fair,Perth,Winter,123,2023-07-07
Cartier,Trinity Ring,Jewelry,7018.0,4040.55,Good,Melbourne,Spring,20,2024-09-15
Prada,Re-Edition 2005,Handbags,17023.0,12310.65,Fair,Melbourne,Summer,143,2023-03-19
Hermès,Constance,Handbags,10440.0,7107.12,Excell,Perth,Autumn,7,2023-12-01
Prada,Galleria,Handbags,13120.0,7690.71,Excell,Adelaide,Autumn,168,2024-02-21
Prada,Re-Edition 2005,Handbags,17022.0,12363.11,Excell,Adelaide,Spring,119,2023-08-28
Balenciaga,Neo Classic,Handbags,13426.0,7040.68,Good,Melbourne,Spring,151,2023-11-25
Louis Vuitton,Capucines,Handbags,13067.0,9497.0,Fair,unknown,Summer,118,2024-12-25
Louis Vuitton,Neverfull Tote,Handbags,6149.0,3280.42,poor,Adelaide,Spring,132,2024-07-23
Gucci,Jackie 1961,Handbags,6447.0,7457.32,New,Brisbane,Spring,81,2024-09-22
Chanel,Coco Handle,Handbags,7936.0,6564.12,Excell,Adelaide,Summer,156,2023-09-06
Fendi,Sunshine Shopper,Handbags,13415.0,5752.63,Good,Melbourne,Summer,40,2023-01-21
Hermès,Kelly 28,Handbags,17804.0,10014.05,Fair,Sydney,Autumn,146,2024-08-29
Dior,Lady Dior,Handbags,14422.0,20934.2,Excell,Sydney,Autumn,148,2023-03-15
Balenciaga,City Bag,Handbags,17589.0,8090.05,poor,Adelaide,Autumn,59,2023-02-18
Gucci,Dionysus,Handbags,7607.0,4509.75,Fair,SYD,Autumn,66,2024-09-09
Dior,Book Tote,Handbags,11504.0,10311.12,Good,Melbourne,Summer,65,2024-08-30
Chanel,Boy Bag,Handbags,4404.0,2833.73,Very Good,Brisbane,Summer,173,2023-03-31
Balenciaga,Hourglass Bag,Handbags,8478.0,3870.9,Unknown,Melb,Summer,24,2024-07-21
Prada,Double Tote,Handbags,17702.0,10214.95,Like New,Adelaide,Autumn,52,2023-12-15
Chanel,Coco Handle,Handbags,8008.0,4570.59,New,Perth,Autumn,119,2023-03-15
Louis Vuitton,Neverfull Tote,Handbags,6259.0,3886.2,Excell,SYD,Autumn,34,2023-06-03
Chanel,Coco Handle,Handbags,8015.0,6266.39,Good,Brisbane,Summer,161,2024-08-06
Cartier,Tank Watch,Jewelry,12179.0,5849.64,Unknown,Perth,Summer,4,2023-05-07
Gucci,Dionysus,Handbags,7579.0,3495.45,Excell,Melb,Winter,131,2024-07-26
Louis Vuitton,Neverfull Tote,Handbags,6109.0,3766.9,,SYD,Autumn,101,2024-09-30
Chanel,Classic Flap Bag,Handbags,4910.0,2420.7,poor,Perth,Winter,106,2023-04-01
Cartier,Trinity Ring,Jewelry,7030.0,3759.28,Excell,SYD,Autumn,158,2023-01-04
Hermès,Evelyne III,Handbags,15002.0,11729.93,Unknown,Perth,Winter,73,2023-06-05
Prada,Cleo Shoulder Bag,Handbags,16614.0,12024.64,New,Melb,Spring,96,2024-04-30
Prada,Cleo Shoulder Bag,Handbags,16607.0,9479.82,Like New,Melbourne,Summer,2,2024-06-14
Gucci,Jackie 1961,Handbags,6336.0,4462.8,Very Good,Perth,Summer,141,2024-11-14
Gucci,Marmont Mini,Handbags,10792.0,7846.19,Like New,SYD,Winter,129,2023-06-02
Cartier,Panthère Watch,Jewelry,5131.0,4078.98,Fair,Melb,Winter,67,2024-09-02
